investigating_agency,roadway_number,building_number,roadway_direction,roadway_name,roadway_suffix,roadway_type,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,latitude,longitude,milepoint,day_of_week,date,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,fatality_indicator,injury_indicator
LOUISVILLE METRO POLICE DEPT,KY1747,,,FERN VALLEY,RD,STATE,,,,INDUSTRIAL,,ULRICH,38.15700504,-85.70714888,1.376,THURSDAY,2019-09-26 04:02:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,,W,CARDINAL,BLVD,METRO,KY1020,3RD,,,,,38.2205531,-85.76117736,0.181,THURSDAY,2019-10-10 14:22:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,,ST PAULS CHURCH,,,,,38.15200995,-85.83626511,12.194,SATURDAY,2019-10-19 12:36:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY2055,,W,MANSLICK,RD,STATE,,STAR REST,,,,,38.11843012,-85.79383405,3.655,THURSDAY,2019-12-19 18:36:00-05:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,PHILLIPS,LN,METRO,,,,,,,38.19002918,-85.74714369,0.271,WEDNESDAY,2020-02-26 20:47:00-05:00,2,1,CLEAR,WET,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1934,,,CANE RUN,RD,STATE,,,KY2049,CRUMS,,HARTLAGE,38.19990254,-85.83672835,9.236,FRIDAY,2020-04-24 15:54:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0061,,S,PRESTON,ST,STATE,US0060A,EASTERN,,,,,38.21456271,-85.7430708,10.125,FRIDAY,2020-05-15 21:16:00-04:00,4,3,CLOUDY,WET,False,COLLISION WITH BICYCLE IN INTERSECTION,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,5116,W,PAGES,LN,METRO,,,,,,,38.13034967,-85.85308706,0.286,SUNDAY,2020-07-05 19:06:00-04:00,2,1,RAINING,WET,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,26TH,ST,METRO,,GREENWOOD,,,,,38.24193574,-85.79574447,1.302,THURSDAY,2020-07-23 20:53:00-04:00,2,1,CLOUDY,WET,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,DIXIE,HWY,METRO,,,,LEE,,LEE,38.22668024,-85.79113155,1.604,THURSDAY,2020-09-10 10:10:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
