investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,,,DUNCAN,ST,,2.369,,LONGWORTH,,,,,2,1,CLOUDY,WET,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-07-03 23:01:00-04:00,38.2679738,-85.8229483,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,NORWICH,BLVD,,0.001,KY1931,GREENWOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-04 19:50:00-04:00,38.1448206,-85.8761506,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,DOUP,AVE,,,,EASTVIEW,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-05 10:00:00-04:00,38.2226,-85.681233333,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,JEANINE,DR,,0.894,,INDIAN,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-05 14:00:00-04:00,38.1707166,-85.6886504,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,SOUTHERN,PKWY,,0.517,,,,FORUM,,KINGSTON,2,1,RAINING,WET,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2011-07-08 08:29:00-04:00,38.1764275,-85.7724905,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,MARKET,ST,W,21.759,,5TH,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-08 13:13:00-04:00,38.2554345,-85.7584296,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,WHITNEY,AVE,W,1.108,,,,2ND,,1ST,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-11 19:20:00-04:00,38.1939964,-85.7627847,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,DUMESNIL,ST,,1.301,,26TH,,,,,2,2,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-13 15:10:00-04:00,38.2364014,-85.7964194,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1865,,TAYLOR,BLVD,,6.043,,CARLISLE,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-14 20:06:00-04:00,38.1940665,-85.7831566,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,0.143,,,,RUBEL,US0150,BROADWAY,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-15 10:07:00-04:00,38.246218,-85.7318591,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,1121,BEECHER,ST,,0.158,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-15 18:32:00-04:00,38.1916769,-85.7803677,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,LAKE FOREST,PKWY,,0.702,,,,ASHMONT,,WOODLAKE,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2011-07-17 16:00:00-04:00,38.247868,-85.4869571,False,False,SUNDAY
SHIVELY POLICE DEPARTMENT,,,HILLSIDE,DR,,0.003,,,,,,,2,1,CLEAR,DRY,True,,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2011-07-19 17:00:00-04:00,38.1754838,-85.8259329,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,BLUEGRASS PARK,DR,,0.115,,CROSSLAND,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-19 17:52:00-04:00,38.1912049,-85.6759888,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,GRIFFITHS,AVE,,0.421,,23RD,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-21 15:30:00-04:00,38.2649012,-85.7864926,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,US0031,,CLARK MEMORIAL BRIDGE,,,0.548,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-21 16:45:00-04:00,38.2640921,-85.7516079,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,41ST,ST,S,0.355,,FORDSON,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-07-21 21:27:00-04:00,38.2380818,-85.8210519,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,SKY BLUE,AVE,,0.007,,,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-07-22 13:06:00-04:00,38.1441344,-85.8519788,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,CLAY,ST,S,0.372,,,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-07-23 00:30:00-04:00,38.249443,-85.7407698,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,KENWOOD,WAY,W,7.66,,,,3RD,,BURKLEY,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2011-07-23 16:20:00-04:00,38.1795781,-85.7672473,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,7TH,ST,,,,9TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,CURVE & HILLCREST,DAYLIGHT,False,2011-07-29 15:30:00-04:00,38.224683333,-85.767116667,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY1932,,BRECKENRIDGE,LN,,2.564,,,,HIKES,,CHURCHILL PARK,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-01 10:45:00-04:00,38.2165406,-85.6274084,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,WILKIE,RD,,0.312,,MARY ROSE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-01 15:06:00-04:00,38.176073,-85.8559005,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,KY1747,,FERN VALLEY,RD,,2.161,,,,JEANINE,KY0061,PRESTON,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-02 15:40:00-04:00,38.1580294,-85.6930531,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,BANK,ST,,0.001,US0150,22ND,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-03 08:35:00-04:00,38.2665561,-85.783538,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,3706,WYNBROOKE,CIR,,0.254,,,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2011-08-04 07:49:00-04:00,38.2952156,-85.5654367,True,False,THURSDAY
JEFFERSONTOWN POLICE DEPT,KY0155,,TAYLORSVILLE,RD,,9.586,,,,JEFFERSON,,SPROWL,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2011-08-04 21:50:00-04:00,38.1969034,-85.5682004,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,7TH,ST,S,2.793,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-08-06 22:20:00-04:00,38.2569703,-85.7615695,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY0864,,SHELBY,ST,S,15.016,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-09 16:53:00-04:00,38.237877,-85.7406586,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,OAK,ST,W,0.273,,4TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-10 13:00:00-04:00,38.2350184,-85.7603181,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,26TH,ST,N,0.187,,DUNCAN,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-13 20:29:00-04:00,38.2634196,-85.7932449,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,COGAN,BLVD,,0.001,,,,ZACHARY,KY1865,NEW CUT,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-15 11:57:00-04:00,38.1421448,-85.7743904,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,1.005,,,,WINTER,,OAK,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-16 12:57:00-04:00,38.2357745,-85.7277478,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,MAIN,ST,E,17.587,,FLOYD,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-17 14:30:00-04:00,38.2556715,-85.7478894,True,False,WEDNESDAY
ANCHORAGE POLICE DEPARTMENT,KY0146,12100,PARK,RD,,4.571,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,False,2011-08-19 05:55:00-04:00,38.2674385,-85.5449474,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY0864,,SHELBY,ST,S,15.156,,BRECKINRIDGE,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-19 10:35:00-04:00,38.2398952,-85.7403311,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,AQUA,LN,,0.046,,INGLEWOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-20 17:00:00-04:00,38.1117548,-85.7704354,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,JACKSON,ST,S,12.167,,JACOB,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-20 20:47:00-04:00,38.2433954,-85.7458943,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,UPPER HUNTERS,TRCE,,1.351,,MARIAN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2011-08-24 15:53:00-04:00,38.1589396,-85.846547,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BAXTER,AVE,,15.901,US0150,BROADWAY,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2011-08-28 23:23:00-04:00,38.2437317,-85.7269965,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,0.777,,OAK,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-29 13:28:00-04:00,38.2365947,-85.7783632,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,PHILLIPS,LN,,1.259,,,KY0061  ,PRESTON,,MONARCH,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-08-29 14:21:00-04:00,38.197499,-85.7319606,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,KY1727,,TERRY,RD,,1.478,,TEAROSE,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-01 09:15:00-04:00,38.1430731,-85.872148,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,LOTUS,AVE,,0.217,,VERA,,,,,2,1,CLEAR,DRY,True,NONE OF THE ABOVE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-09-01 21:35:00-04:00,38.1708148,-85.7171567,True,False,THURSDAY
SHIVELY POLICE DEPARTMENT,US0031W,,DIXIE,HWY,,15.716,,NOBEL,,,,,2,1,CLEAR,DRY,True,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-03 12:58:00-04:00,38.1969229,-85.8048239,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,SOUTHSIDE,DR,,6.644,,,,ALGER,,NAVY,2,1,RAINING,WET,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2011-09-07 00:10:00-04:00,38.1664829,-85.7647933,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,FLOYD,ST,S,2.279,,LEE,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2011-09-07 10:00:00-04:00,38.2224452,-85.7537105,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,FLOYD,ST,S,0.663,,,,GRAY,,PIN,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-07 14:20:00-04:00,38.2461715,-85.749671,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,1.527,,BAYLY,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-11 12:15:00-04:00,38.2549708,-85.6919903,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,HWY,,2.917,,MILES,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2011-09-12 11:50:00-04:00,38.1244205,-85.6792937,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,WHIPPS MILL,RD,,0.313,,WOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-12 16:09:00-04:00,38.2511441,-85.5982402,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,5TH,ST,S,3.166,,MUHAMMAD ALI,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-13 10:00:00-04:00,38.2514232,-85.7592557,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,RANGELAND,RD,,0.042,,,,LAGOONA,KY0864,POPLAR LEVEL,2,1,CLEAR,DRY,True,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-24 18:40:00-04:00,38.1673084,-85.6809606,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,0.778,,CLIFTON,,,,,2,1,CLEAR,DRY,True,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-25 08:23:00-04:00,38.2536116,-85.7061316,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY3064,,PORTLAND,AVE,,0.573,,,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-25 14:56:00-04:00,38.271804,-85.7921323,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,2.021,,CEDAR,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-25 16:32:00-04:00,38.2544764,-85.7754514,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,MARKET,ST,E,17.383,KY0061,PRESTON,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,2011-09-27 08:38:00-04:00,38.2541348,-85.7462308,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,FACTORY,LN,,0.016,,,,,,,2,1,CLOUDY,DRY,True,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-27 10:15:00-04:00,38.2893316,-85.5120607,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,2ND,ST,S,12.193,,,,CHESTNUT,US0150,BROADWAY,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-09-30 17:00:00-04:00,38.247226,-85.7548395,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,W,1.094,,18TH,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-05 13:00:00-04:00,38.2489317,-85.7815245,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,2ND,ST,S,12.098,US0150,BROADWAY,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-05 17:00:00-04:00,38.2458563,-85.7550178,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,FERN CREEK,RD,,0.539,,,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-07 15:29:00-04:00,38.1547494,-85.5922186,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,WELLINGTON,AVE,W,0.276,,2ND,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-07 15:56:00-04:00,38.1835521,-85.7625777,True,False,FRIDAY
ST. MATTHEWS POLICE DEPARTMENT,,4100,OECHSLI,AVE,,0.08,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-08 12:00:00-04:00,38.2543961,-85.6462471,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY2049,,CRUMS,LN,,0.024,,,,,,,3,2,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,True,2011-10-09 05:30:00-04:00,38.1991711,-85.8369648,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY1931,,ST ANDREWS CHURCH,RD,,4.521,,,,BLANTON,,BROOKVIEW,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-10-09 19:51:00-04:00,38.152634,-85.8178661,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,MARKET,ST,W,21.797,,,,5TH,,4TH,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-11 17:10:00-04:00,38.2553905,-85.7578176,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,BANK,ST,,0.019,US0150,22ND,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-21 15:45:00-04:00,38.2663431,-85.783328,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,0.778,,CLIFTON,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,False,2011-10-24 10:00:00-04:00,38.2536077,-85.7061282,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,SENECA PARK,RD,,0.764,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2011-10-24 16:10:00-04:00,38.2343971,-85.6771366,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,GOLDSMITH,LN,,1.001,,,,TRAFALGAR,US0031E,BARDSTOWN,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-10-25 18:17:00-04:00,38.2079448,-85.6697516,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,HANCOCK,ST,S,1.452,,CAMP,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-10-25 19:23:00-04:00,38.2315207,-85.7458835,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,SCOTTSDALE,BLVD,,0.0,KY1865,NEW CUT,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2011-10-29 16:00:00-04:00,38.1391771,-85.7738041,False,False,SATURDAY
JEFFERSONTOWN POLICE DEPT,,,STONY BROOK,DR,,0.747,KY1747,HURSTBOURNE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-11-01 09:27:00-04:00,38.2109004,-85.5975865,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,E,2.688,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-11-01 12:21:00-04:00,38.2456618,-85.7526504,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,MARKET,ST,W,21.891,,,,4TH,US0031E,3RD,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-11-01 17:30:00-04:00,38.2551272,-85.7561813,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,VIRGINIA,AVE,,0.002,,26TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2011-11-01 20:05:00-04:00,38.237757,-85.7962691,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BUECHEL,BYP,,10.068,,,,PLAZA,,BUECHEL BANK,2,1,RAINING,WET,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,2011-11-03 20:00:00-04:00,38.190769,-85.6482377,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,LIBERTY,ST,W,0.476,,ARMORY,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-11-07 13:30:00-05:00,38.2533279,-85.7595586,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0060,,FRANKFORT,AVE,,2.495,,MCCREADY,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2011-11-07 14:50:00-05:00,38.2543229,-85.6748288,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,CHRISTY,AVE,,0.303,,,,BARRET,,EDWARD,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2011-11-07 19:56:00-05:00,38.239749,-85.7304727,False,False,MONDAY
