investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,,,4TH,ST,S,3.226,US0060A,WINKLER,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-02-03 06:35:00-05:00,38.2102901,-85.7646645,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,1.012,,WINTER,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-02-03 08:55:00-05:00,38.2357083,-85.7276376,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,HARTLAGE,CT,,0.575,KY1934,CANE RUN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-02-06 14:12:00-05:00,38.2004048,-85.8359467,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,LINCOLN,AVE,,0.722,KY1931,7TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-02-06 22:23:00-05:00,38.2184766,-85.7790853,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY1447,,WESTPORT,RD,,4.933,,,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-03-02 13:44:00-05:00,38.2860233,-85.5777139,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,3RD,ST,S,10.323,,CARDINAL,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-03-08 10:00:00-05:00,38.2205542,-85.7611768,False,False,TUESDAY
UNIV. OF LOUISVILLE POLICE,,,4TH,ST,S,2.779,,,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,False,2016-03-11 11:05:00-05:00,38.2167243,-85.7635804,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,29TH,ST,N,0.715,,,,ALFORD,,DUNCAN,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-03-11 18:17:00-05:00,38.2653783,-85.7986299,True,False,FRIDAY
UNIV. OF LOUISVILLE POLICE,,,CARDINAL,BLVD,W,0.106,KY1020,2ND,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-03-21 22:51:00-04:00,38.2204283,-85.7597911,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,1228,BARRET,AVE,,1.337,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-03-22 17:19:00-04:00,38.2316839,-85.7245154,True,False,TUESDAY
