longitude,latitude,OBJECTID,main_street,cross_street,route_number,milepoint,owner,type
-85.6458243846218,38.1577635187891,109,FERN VALLEY,POPLAR LEVEL,KY-864,6.92,KYTC,1
-85.6399785097228,38.1883167876027,110,BARDSTOWN,BUECHEL,US-31E,9.55,KYTC,1
-85.5920591435763,38.155173730739,111,FERN CREEK,FERNDALE,,,METRO,1
-85.62840628387,38.1373165120613,112,OUTER,VAUGHN MILL,KY-1065,9.25,KYTC,1
-85.5796103625348,38.1341524000791,113,BARDSTOWN,BRENTLINGER,US-31E,4.37,KYTC,1
-85.5909333471413,38.1575516835064,114,BARDSTOWN,FERN CREEK,US-31E,6.12,KYTC,1
-85.5899339293576,38.1554771152786,115,BARDSTOWN,FERNDALE,US-31E,5.96,KYTC,1
-85.6431533886633,38.1228502845441,116,MANSLICK,SMYRNA,KY-2845,2.0,KYTC,1
-85.6701973056086,38.096356656382,117,PRESTON,OLD PRESTON,KY-61,1.0,KYTC,1
-85.5746178034511,38.1254175306188,118,BARDSTOWN,GLENMARY FARM,US-31E,3.71,KYTC,1
-85.5841924066051,38.1435940986198,119,BARDSTOWN,I 265 RAMP,US-31E,4.98,KYTC,1
-85.6052927369977,38.1879302521578,120,HURSTBOURNE CROSSINGS,HURSTBOURNE,KY-1747,8.879,KYTC,1
-85.6700526493778,38.0883192404545,121,ANTLE,MUD,,,METRO,1
-85.696857459751,38.2743609758259,122,ZORN,I 71 RAMP,I-71,0.0,KYTC,1
-85.7863197057421,38.2599308213393,123,MAIN,22ND,US 31W,20.3,KYTC,1
-85.7846622284963,38.2597488628698,124,MAIN,21ST,US 31W,20.39,KYTC,1
-85.7763945094316,38.2588166629242,125,W MAIN ST,N 16TH ST,US 31W,20.845,KYTC,1
-85.7749778666356,38.257246386112,126,15TH,MARKET,US 31W,20.83,KYTC,1
-85.7806669324642,38.2536916139682,127,18TH,MUHAMMAD ALI,,,METRO,1
-85.7945024701584,38.253007566871,128,CHESTNUT,26TH,,,METRO,1
-85.7827127223574,38.2516925361716,129,CHESTNUT,19TH,,,METRO,1
-85.7879048717895,38.2509412920301,130,MAGAZINE,22ND,US-31W,19.68,KYTC,1
-85.7732540271655,38.247794208213,131,BROADWAY,13TH,US 150,1.559,KYTC,1
-85.7842426676737,38.2436620918545,132,DIXIE,GARLAND,,,METRO,1
-85.7879508544451,38.2410658645422,133,GREENWOOD,DR W J HODGE,US-31W,19.09,KYTC,1
-85.7727958399553,38.2408695133511,134,KENTUCKY,12TH,,,METRO,1
-85.7596393301724,38.2389354133575,135,4TH,KENTUCKY,,,METRO,1
-85.757981148841,38.2387561817504,136,KENTUCKY,3RD,KY-1020,11.49,KYTC,1
-85.7903646993794,38.2365184656001,137,DUMESNIL,22ND,US-31W,18.665,KYTC,1
-85.7871997166637,38.236384058865,138,DIXIE,DUMESNIL,,,METRO,1
-85.7736157500363,38.2362345952724,139,OAK,12TH,,,METRO,1
-85.7491046227612,38.2362193675237,140,PRESTON,ST CATHERINE,KY-61,11.685,KYTC,1
-85.7394413448167,38.2362471846873,141,KENTUCKY,LOGAN,KY-864,14.872,KYTC,1
-85.7603287982882,38.2350211462358,142,4TH,OAK,,,METRO,1
-85.7570064624163,38.2347221488077,143,OAK,2ND,KY-1020,11.372,KYTC,1
-85.7494757040665,38.2340595569917,144,OAK,PRESTON,KY-61,11.525,KYTC,1
-85.7640301874238,38.2331655762869,145,ORMSBY,6TH,,,METRO,1
-85.7590503827048,38.2327116634903,146,ORMSBY,3RD,KY-1020,11.171,KYTC,1
-85.7545552806631,38.2294738476458,147,BROOK,WOODBINE,,,METRO,1
-85.7602617073706,38.2258278165809,148,HILL,3RD,KY-1020,10.7,KYTC,1
-85.7263005801132,38.2253637889879,149,CASTLEVALE,EASTERN,US-60,5.759,KYTC,1
-85.6961238827975,38.223517787216,150,BOULEVARD NAPOLEON,DOUGLASS,,,METRO,1
-85.7959927963789,38.2146876145851,151,DIXIE,MILLERS, US-31W,17.04,KYTC,1
-85.7170450933268,38.2101927391726,152,NIGHTINGALE,POPLAR LEVEL,KY-864,12.471,KYTC,1
-85.8022501892702,38.2007887682918,153,DIXIE,FARNSLEY, US-31W,16.02,KYTC,1
-85.7096390601335,38.2014042767493,154,MERCER,POPLAR LEVEL,KY-864,11.747,KYTC,1
-85.7907829770621,38.1965453588228,155,BERRY,POWELL,US-60,1.034,KYTC,1
-85.8137132983717,38.1944866025782,156,CRUMS,JANELL,KY-2049,1.35,KYTC,1
-85.5811482677354,38.246743980344,157,WHITTINGTON,SHELBYVILLE,US-60,7.63,KYTC,1
-85.8088050788773,38.245840663045,158,LOUIS COLEMAN JR,GARLAND,,,METRO,1
-85.8076930361264,38.2567082396965,159,LOUIS COLEMAN JR,MUHAMMAD ALI,,,METRO,1
-85.806876239683,38.2609310719971,160,LOUIS COLEMAN JR,MARKET,,,METRO,1
-85.5425208228744,38.2307614779871,161,MARTIN HOUSE,WATTERSON,KY-913,3.26,KYTC,1
-85.476642612597,38.1908225869825,162,TAYLORSVILLE LAKE,TAYLORSVILLE,KY-155,4.26,KYTC,1
-85.5158835105639,38.2898711401733,163,CHAMBERLAIN,COLLINS,,,METRO,1
-85.5096184783951,38.2425667823395,164,SHELBYVILLE,URTON,US-60,11.68,KYTC,1
-85.5062498273154,38.268013378229,165,OLD HENRY,I 265 RAMP,KY-3084,0.838,KYTC,1
-85.6120159352079,38.3545831585532,166,COVERED BRIDGE,U S HIGHWAY 42,US-42,11.22,KYTC,1
-85.5537638651956,38.2212561760905,167,BLUEGRASS,WATTERSON,KY-1819,11.77,KYTC,1
-85.5404220928277,38.2265888776422,168,OLD BLANKENBAKER,BLANKENBAKER,KY-913,2.95,KYTC,1
-85.5723217178215,38.2876095798876,169,WESTPORT,HURSTBOURNE,KY-1447,5.25,KYTC,1
-85.6542302829194,38.2514476897759,170,BRECKENRIDGE,WILLIS,KY-1932,5.4,KYTC,1
-85.6519727121805,38.248678023155,171,BRECKENRIDGE,GRANDVIEW,KY-1932,5.18,KYTC,1
-85.5770737936694,38.22239328524,172,BLUEGRASS,PLANTSIDE,,,JEFFERSONTOWN,1
-85.6068427312726,38.2189820954427,173,LOWE,TAYLORSVILLE,KY-155,12.3,KYTC,1
-85.5379520502449,38.2048413782146,174,ELECTRON,BLANKENBAKER,KY-913,1.44,KYTC,1
-85.6152108103098,38.2007122383117,175,SUMMERFIELD,MANNER DALE,,,METRO,1
-85.5778741505951,38.2700423212163,176,ASHMOOR,LA GRANGE,KY-146,3.23,KYTC,1
-85.5755914212587,38.2650973826974,177,CORPORATE CAMPUS,ORMSBY STATION,,,METRO,1
-85.5797899436685,38.2053409670842,178,PATTI,TAYLORSVILLE,KY-155,10.46,KYTC,1
-85.5707101527995,38.198674255862,179,COLLEGE,OLD SIX MILE,KY-155,9.77,KYTC,1
-85.6368512637897,38.279419717663,180,BROWNSBORO,I 264 RAMP,US-42,5.73,KYTC,1
-85.6066742934079,38.2488326543411,181,CHRISTIAN,SHELBYVILLE,US-60,6.23,KYTC,1
-85.658317663148,38.222173648373,182,DUTCHMANS,TAYLORSVILLE,KY-155,15.1,KYTC,1
-85.5646705658407,38.2454813634358,183,SHELBYVILLE,DORSEY,US-60,8.53,KYTC,1
-85.5470291650166,38.2979229347141,184,WESTPORT,I 265 RAMP,KY-1447,6.75,KYTC,1
-85.5592224073407,38.2937536496279,185,FREYS HILL,SPRINGHURST,KY-1447,6.03,KYTC,1
-85.6428262645826,38.2374889174241,186,BRECKENRIDGE,KRESGE,KY-1932,4.25,KYTC,1
-85.5077828320741,38.1891075006213,187,TAYLORSVILLE,I 265 RAMP,KY-155,6.06,KYTC,1
-85.6598293685741,38.1504310065315,188,MILE OF SUNSHINE,SHEPHERDSVILLE,KY-2052,0.81,KYTC,1
